Timestamp,X Position,Y Position
2024-03-24T20:40:08.258Z,191,224
2024-03-24T20:40:08.834Z,58,136
2024-03-24T20:40:09.458Z,68,223
2024-03-24T20:40:10.233Z,667,611
2024-03-24T20:40:11.521Z,739,892
2024-03-24T20:40:11.827Z,739,892
2024-03-24T20:40:12.569Z,807,895
2024-03-24T20:40:13.105Z,892,896
2024-03-24T20:40:13.506Z,683,907
2024-03-24T20:40:14.009Z,709,867
2024-03-24T20:40:14.473Z,767,867
2024-03-24T20:40:14.913Z,875,868
2024-03-24T20:40:15.594Z,713,837
2024-03-24T20:40:16.242Z,746,838
2024-03-24T20:40:17.857Z,367,1699
2024-03-24T20:40:19.226Z,188,2241
2024-03-24T20:40:19.793Z,678,2191
2024-03-24T20:40:20.345Z,1112,2219
2024-03-24T20:40:21.642Z,603,2912
2024-03-24T20:40:23.578Z,524,3330
2024-03-24T20:40:24.985Z,345,3539
2024-03-24T20:40:26.785Z,743,4131
2024-03-24T20:40:27.514Z,1065,4111
2024-03-24T20:40:27.993Z,1263,3998
2024-03-24T20:40:30.697Z,569,4306
2024-03-24T20:40:32.506Z,827,4902
2024-03-24T20:40:33.978Z,213,5111
2024-03-24T20:40:40.874Z,620,6086
2024-03-24T20:40:43.210Z,686,7009
2024-03-24T20:40:43.994Z,405,6687
