Timestamp,X Position,Y Position
2024-03-24T20:39:28.674Z,679,213
2024-03-24T20:39:30.290Z,204,246
2024-03-24T20:39:31.993Z,596,95
2024-03-24T20:39:32.562Z,492,92
2024-03-24T20:39:33.161Z,387,94
2024-03-24T20:39:33.882Z,281,98
2024-03-24T20:39:34.273Z,183,99
2024-03-24T20:39:36.570Z,695,870
2024-03-24T20:39:37.130Z,649,870
2024-03-24T20:39:37.537Z,639,808
2024-03-24T20:39:37.953Z,731,837
2024-03-24T20:39:38.306Z,744,837
2024-03-24T20:39:38.617Z,744,837
2024-03-24T20:39:39.008Z,744,837
2024-03-24T20:39:39.369Z,744,837
2024-03-24T20:39:40.201Z,751,899
2024-03-24T20:39:40.841Z,695,836
2024-03-24T20:39:42.625Z,899,2238
2024-03-24T20:39:42.977Z,899,2238
2024-03-24T20:39:43.481Z,454,2243
2024-03-24T20:39:44.570Z,721,2871
2024-03-24T20:39:46.401Z,336,3563
2024-03-24T20:39:46.874Z,1114,3549
2024-03-24T20:39:48.505Z,794,4169
2024-03-24T20:39:50.025Z,1200,5168
2024-03-24T20:39:51.761Z,747,6058
2024-03-24T20:39:51.983Z,747,6058
2024-03-24T20:39:55.129Z,1061,6280
2024-03-24T20:39:55.809Z,1061,6280
2024-03-24T20:39:56.425Z,1061,6280
2024-03-24T20:39:58.385Z,695,7016
